family,row_count,rmsle,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion
SCHOOL AND OFFICE SUPPLIES,2592,0.7120213276579065,0.4482878318933519,0.5513117283950617,0.014660493827160493,22.792824074074073,6.188797274778105,59079.0,16041.36253622485,-16.60402679929597,0.8499228395061729
LINGERIE,2592,0.6211841251702708,0.49334176681042063,0.10069444444444445,0.0,6.959104938271605,5.684374504396717,18038.0,14733.898715396292,-1.274730433874888,0.1882716049382716
GROCERY II,2592,0.6159568305735973,0.457367136567468,0.016203703703703703,0.0,32.39274691358025,28.581518195023317,83962.0,74083.29516150044,-3.8112287185569302,0.42978395061728397
CELEBRATION,2592,0.5619991222059938,0.4283294918900735,0.021219135802469136,0.0,13.373842592592593,11.710291095342049,34665.0,30353.074519126592,-1.663551497250543,0.020833333333333332
HARDWARE,2592,0.5300399006123612,0.44056512191192676,0.38425925925925924,0.0,1.4814814814814814,1.1010033569592126,3840.0,2853.800701238279,-0.3804781245222689,0.0015432098765432098
MAGAZINES,2592,0.522599436906642,0.41944171210986586,0.1554783950617284,0.0,6.474537037037037,5.560731696902039,16782.0,14413.416558370085,-0.9138053401349977,0.002700617283950617
LADIESWEAR,2592,0.5111026205355649,0.38864513483941676,0.29282407407407407,0.004243827160493827,11.266203703703704,10.981277179971677,29202.0,28463.470450486588,-0.2849265237320267,0.2029320987654321
AUTOMOTIVE,2592,0.5035694468571389,0.3941473802164301,0.032407407407407406,0.0,7.285108024691358,6.238848134236191,18883.0,16171.094363940207,-1.046259890455167,0.03665123456790124
"LIQUOR,WINE,BEER",2592,0.4915452774449673,0.3507280507737107,0.0007716049382716049,0.0,97.36574074074075,90.47213529153548,252372.0,234503.77467565995,-6.893605449205271,2.885030864197531
SEAFOOD,2592,0.4732265087937541,0.35383891955451474,0.08449074074074074,0.0,20.549881567476852,19.082341344656772,53265.2930229,49461.428765350356,-1.4675402228200798,0.6361882716049383
PET SUPPLIES,2592,0.47160013044586285,0.37081513406017175,0.1099537037037037,0.0,8.770447530864198,8.246103539793674,22733.0,21373.900375145204,-0.5243439910705233,0.021604938271604937
PLAYERS AND ELECTRONICS,2592,0.4707011970164678,0.36387579602316233,0.033179012345679014,0.0,11.660108024691358,10.50115304464853,30223.0,27218.98869172899,-1.1589549800428274,0.04398148148148148
BEAUTY,2592,0.4666960488392688,0.37077373743065617,0.10455246913580248,0.0,6.016589506172839,5.21539880327349,15595.0,13518.313698084887,-0.8011907028993495,0.6766975308641975
HOME AND KITCHEN I,2592,0.45397824508487833,0.343403630263514,0.0007716049382716049,0.0,31.487654320987655,30.517211294257855,81616.0,79100.61167471636,-0.9704430267297978,2.888503086419753
HOME AND KITCHEN II,2592,0.44302332847165654,0.32313573517898364,0.0007716049382716049,0.0,30.587577160493826,27.603392284981087,79283.0,71547.99280267098,-2.98418487551274,0.7064043209876543
LAWN AND GARDEN,2592,0.42019023744116674,0.3185468201183931,0.28742283950617287,0.005787037037037037,16.048225308641975,14.999324801442947,41597.0,38878.24988534012,-1.0489005071990274,0.5027006172839507
HOME APPLIANCES,2592,0.38042712505449533,0.324122786530846,0.7662037037037037,0.0019290123456790122,0.33217592592592593,0.40903974138625837,861.0,1060.2310096731817,0.07686381546033244,0.006558641975308642
CLEANING,2592,0.3292391434480233,0.21571092188632968,0.0,0.0,1311.5478395061727,1319.6552462651423,3399532.0,3420546.3983192486,8.107406758969416,23.791666666666668
BABY CARE,2592,0.31594209839238757,0.255739647211749,0.8738425925925926,0.01427469135802469,0.2010030864197531,0.2734085330129829,521.0,708.6749175696517,0.07240544659322982,0.0007716049382716049
EGGS,2592,0.30806628671076386,0.21593353461834927,0.0,0.0,199.38695987654322,192.84340878192486,516811.0,499850.11556274927,-6.543551094618346,3.627314814814815
