store_nbr,city,state,store_type,cluster,row_count,rmsle,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion
19,Guaranda,Bolivar,C,15,1584,0.4860586019025982,0.3282883921225923,0.15467171717171718,0.0031565656565656565,284.5445953074495,278.89728064443386,450718.638967,441773.29254078324,-5.647314663015639,6.148989898989899
26,Guayaquil,Guayas,D,10,1584,0.46514986222579136,0.34625401800729083,0.2159090909090909,0.0012626262626262627,152.43569885479798,152.67159516664677,241458.146986,241831.80674396848,0.2358963118487975,4.726641414141414
14,Riobamba,Chimborazo,C,7,1584,0.4607731476741118,0.3320845412279831,0.19886363636363635,0.001893939393939394,250.40327967045457,244.60920793062127,396638.794998,387460.9853621041,-5.794071739833301,5.770833333333333
22,Puyo,Pastaza,C,7,1584,0.4604638707489713,0.33920548821601515,0.19633838383838384,0.0012626262626262627,219.6547360915404,208.26241666968113,347933.101969,329887.6680047749,-11.392319421859295,6.1811868686868685
32,Guayaquil,Guayas,C,3,1584,0.45508691185668837,0.31826026337508934,0.30997474747474746,0.004419191919191919,153.74776895075757,130.10867303631414,243536.466018,206092.13808952158,-23.639095914443452,4.8232323232323235
50,Ambato,Tungurahua,A,14,1584,0.4530399097340004,0.27637873125002693,0.10101010101010101,0.0006313131313131314,655.9588591281565,675.0022190908123,1039038.832859,1069203.5150398468,19.043359962655817,7.70580808080808
47,Quito,Pichincha,A,14,1584,0.44375435672016433,0.25028043031617525,0.08396464646464646,0.0012626262626262627,1156.2267636174242,1163.1127451824168,1831463.19357,1842370.5883689483,6.885981564992599,8.428030303030303
30,Guayaquil,Guayas,C,3,1584,0.4434522574266857,0.3278159780483506,0.21843434343434343,0.0025252525252525255,202.2367051489899,191.9006919971715,320342.940956,303970.6961235196,-10.33601315181841,5.529040404040404
10,Quito,Pichincha,C,15,1584,0.4393121647407322,0.31744933008309884,0.24621212121212122,0.003787878787878788,200.73671025126265,189.338062560925,317966.949038,299911.4910965052,-11.398647690337611,5.527777777777778
36,Libertad,Guayas,E,10,1584,0.4383517625421125,0.3153407032474155,0.20517676767676768,0.0012626262626262627,366.35866852714645,339.1957981643379,580312.130947,537286.1442923112,-27.162870362808636,7.398989898989899
48,Quito,Pichincha,A,14,1584,0.4381269266031369,0.2663972665714376,0.11237373737373738,0.0006313131313131314,787.3977500669191,781.1889987997217,1247238.036106,1237403.3740987591,-6.208751267197573,7.871843434343434
25,Salinas,Santa Elena,D,1,1584,0.4339365637352264,0.32235592587071515,0.15214646464646464,0.001893939393939394,257.1649697664141,219.90714582938736,407349.31211,348332.9189937496,-37.257823937026785,5.640782828282828
44,Quito,Pichincha,A,5,1584,0.430338527816564,0.25135767763660016,0.07954545454545454,0.0012626262626262627,1353.5648591856059,1387.3869294559827,2144046.73695,2197620.8962582764,33.82207027037648,8.676136363636363
35,Playas,Guayas,C,3,1584,0.42920012616234565,0.31202364210720307,0.30113636363636365,0.0031565656565656565,163.96774178914143,156.0556145108131,259724.902994,247192.09338512793,-7.912127278328325,5.661616161616162
28,Guayaquil,Guayas,E,10,1584,0.4278516150566934,0.3112334714884522,0.1407828282828283,0.001893939393939394,469.66020959343433,465.44527678880274,743941.771996,737265.3184334636,-4.214932804631586,8.08270202020202
20,Quito,Pichincha,B,6,1584,0.4254102891940278,0.2974595388224872,0.13131313131313133,0.0006313131313131314,510.1207708119318,477.8807141990902,808031.3009661,756963.0512913589,-32.240056612841606,8.4135101010101
40,Machala,El Oro,C,3,1584,0.4232270283083436,0.305055813840039,0.17992424242424243,0.0031565656565656565,512.7831161837122,472.1507488879323,812248.456035,747886.7862384848,-40.63236729577978,7.246843434343434
16,Santo Domingo,Santo Domingo de los Tsachilas,C,3,1584,0.4222903170117076,0.3103704790832839,0.2518939393939394,0.003787878787878788,196.0155946881313,193.46574784608376,310488.701986,306449.7445881967,-2.54984684204756,6.38699494949495
15,Ibarra,Imbabura,C,15,1584,0.42211809953778456,0.30108614088999486,0.16603535353535354,0.0031565656565656565,232.74178787436867,239.69863492204456,368662.991993,379682.6377165186,6.956847047675892,6.488636363636363
21,Santo Domingo,Santo Domingo de los Tsachilas,B,6,1584,0.41976334216424793,0.3061858180965892,0.12247474747474747,0.0006313131313131314,423.65717876073234,397.5866082867421,671072.971157,629777.1875261995,-26.070570473990234,8.096590909090908
13,Latacunga,Cotopaxi,C,15,1584,0.4189924313231146,0.30487853438205503,0.22285353535353536,0.003787878787878788,208.07079927335857,201.13414703920822,329584.146049,318596.48891010584,-6.936652234150354,5.299242424242424
45,Quito,Pichincha,A,11,1584,0.41865036888281876,0.23413498889089304,0.07891414141414141,0.0006313131313131314,1255.32798589899,1247.7529502964826,1988439.529664,1976440.6732696283,-7.575035602507314,8.617424242424242
34,Guayaquil,Guayas,B,6,1584,0.41837264823689196,0.2959717525316141,0.10542929292929293,0.0006313131313131314,328.3316060972222,328.1200027097431,520077.264058,519742.0842922331,-0.21160338747911422,7.299873737373737
54,El Carmen,Manabi,C,3,1584,0.4182972402937885,0.29745979418945484,0.25315656565656564,0.003787878787878788,315.1796401401515,286.2491978548152,499244.54998199997,453418.72940202727,-28.930442285336333,5.686868686868687
43,Esmeraldas,Esmeraldas,E,10,1584,0.4143426584507489,0.29852169754865804,0.1875,0.0025252525252525255,491.10749418939395,468.64452030635465,777914.270796,742332.9201652658,-22.4629738830393,7.53219696969697
