fold_id,row_count,rmsle,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion,validation_start,validation_end,validation_rmsle,rmsle_delta_vs_previous_fold
1,28512,0.37998180566199025,0.2665829602035883,0.14299242424242425,0.004664702581369248,484.8021121624264,482.2822873825011,13822677.8219751,13750832.577849872,-2.5198247799252007,8.464611391694724,2017-06-29,2017-07-14,0.3799818057069905,
2,28512,0.40218496781960655,0.2804592106099984,0.14737654320987653,0.0007365319865319865,481.7630417048892,466.91145316800515,13736027.8450898,13312579.352726163,-14.851588536884034,6.691358024691358,2017-07-15,2017-07-30,0.4021849677910037,0.022203162157616307
3,28512,0.4268889564896026,0.2979640947403919,0.14576318742985409,0.00014029180695847364,467.14294969304154,498.5635182608405,13319179.781648,14215043.032653084,31.420568567798934,5.924768518518518,2017-07-31,2017-08-15,0.4268889564972791,0.02470398866999607
