promotion_bin,row_count,rmsle,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion
0,48752,0.4507336464976939,0.3351821648717172,0.2550664588119462,0.003240892681325894,57.814675320163275,56.40074001522137,2818581.0512086,2749648.8772220723,-1.4139353049419063,0.0
1,6777,0.41786072920240913,0.3019456611739413,0.0,0.0,92.1430885276376,90.17862962936324,624453.7109518,611140.5729981947,-1.964458898274353,1.0
2-5,7801,0.3671683607305028,0.2590116985406477,0.0,0.0,230.27956080906293,234.66547442295268,1796410.8538715,1830625.365973454,4.385913613889767,3.2699653890526856
6-10,7012,0.26704959031808934,0.17978715936477568,0.0,0.0,719.0661651624358,778.932113271242,5042091.950119,5461871.9782579485,59.86594810880606,7.794209925841415
11-50,12382,0.3140856572902268,0.17068120445420834,0.0,0.0,1573.7386876895494,1592.1821785918673,19486032.430972,19714399.735324502,18.44349090231815,23.46107252463253
51+,2812,0.15022840327319142,0.11064704855614177,0.0,0.0,3951.0367893278803,3880.074122849554,11110315.45159,10910768.433452945,-70.96266647832644,79.52347083926031
