store_nbr,city,store_type,promotion_bin,baseline_row_count,baseline_squared_log_error_sum,baseline_mean_actual_sales,baseline_mean_predicted_sales,baseline_mean_signed_error,baseline_mean_onpromotion,baseline_rmsle,baseline_error_share,experiment_row_count,experiment_squared_log_error_sum,experiment_mean_actual_sales,experiment_mean_predicted_sales,experiment_mean_signed_error,experiment_mean_onpromotion,experiment_rmsle,experiment_error_share,rmsle_delta,mean_predicted_sales_delta,mean_signed_error_delta
47,Quito,A,11-50,15,112.0430574386585,538.4,33.60161905885918,-504.7983809411408,12.2,2.7330454007530194,0.17271208885254474,15,52.80634029175371,538.4,96.84953510521537,-441.5504648947846,12.2,1.8762789467765486,0.1290373480145745,-0.8567664539764708,63.24791604635619,63.24791604635618
44,Quito,A,11-50,15,109.15270654464666,414.2,26.982084059760414,-387.2179159402396,12.533333333333333,2.6975631786811674,0.16825667187416654,15,52.00192881683524,414.2,75.36953467086695,-338.83046532913306,12.533333333333333,1.861933203542942,0.1270716915638058,-0.8356299751382255,48.387450611106544,48.387450611106544
48,Quito,A,11-50,13,85.32433337744665,464.84615384615387,35.381391708974405,-429.4647621371795,11.846153846153847,2.5619153498512763,0.13152572041902463,13,38.62627003609443,464.84615384615387,93.63567647119325,-371.2104773749606,11.846153846153847,1.7237318646581994,0.09438698878988193,-0.838183485193077,58.254284762218845,58.2542847622189
50,Ambato,A,11-50,15,76.25940988176737,416.0,48.57489778646182,-367.4251022135382,12.533333333333333,2.2547639918147735,0.11755232565438757,15,34.547018830894,416.0,135.24961696491857,-280.7503830350814,12.533333333333333,1.5176081802383203,0.08441894793539158,-0.7371558115764532,86.67471917845675,86.67471917845677
9,Quito,B,6-10,15,33.798380322215124,145.2,31.893540858500558,-113.30645914149945,8.066666666666666,1.501074733254258,0.05209951422896846,15,15.15092726396476,145.2,54.93183121360257,-90.26816878639742,8.066666666666666,1.005018317045839,0.0370227412712603,-0.4960564162084189,23.038290355102014,23.03829035510202
38,Loja,D,0,16,24.762581364068456,4.9375,0.20890745337166217,-4.728592546628338,0.0,1.2440503748861131,0.03817101434518446,16,24.672022495056837,4.9375,0.21357403312839005,-4.72392596687161,0.0,1.2417734922042152,0.06028844898791851,-0.0022768826818979626,0.004666579756727879,0.00466657975672824
20,Quito,B,6-10,9,13.920691425430768,84.33333333333333,23.288004225496294,-61.04532910783704,7.0,1.2436814269396042,0.021458462035223835,9,9.38080260019428,84.33333333333333,29.45371660479513,-54.8796167285382,7.0,1.0209365308488019,0.022922889241887557,-0.22274489609080228,6.165712379298835,6.165712379298839
45,Quito,A,11-50,16,12.870913228400365,526.375,225.78310993066944,-300.59189006933053,12.1875,0.8969013751662012,0.019840250346023523,16,2.885810404558107,526.375,410.55106971322465,-115.82393028677537,12.1875,0.42469182978352865,0.007051754001880627,-0.4722095453826725,184.7679597825552,184.76795978255518
51,Guayaquil,A,0,16,11.505352121648873,3.875,4.396970607442628,0.5219706074426285,0.0,0.8479885067635378,0.01773526573926227,16,16.57617289184566,3.875,5.5156458090701275,1.6406458090701275,0.0,1.0178461601540547,0.04050546541148703,0.16985765339051695,1.1186752016274992,1.118675201627499
8,Quito,D,0,16,8.610237181161356,1.5625,0.4037171091928335,-1.1587828908071665,0.0,0.733580141376922,0.01327250508036502,16,8.422745059901057,1.5625,0.4559074677611338,-1.1065925322388661,0.0,0.7255491480553307,0.020581783920788282,-0.008030993321591295,0.05219035856830029,0.052190358568300343
