promotion_bin,row_count,rmsle,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion
0,48752,0.4519703554534977,0.33611537170932876,0.2550664588119462,0.003876764030193633,57.814675320163275,56.06918540217525,2818581.0512086,2733484.926726848,-1.7454899179880277,0.0
1,6777,0.41845836916526286,0.3028773951255339,0.0,0.0,92.1430885276376,89.58317512182806,624453.7109518,607105.1778006288,-2.5599134058095325,1.0
2-5,7801,0.36747189234164673,0.258841304447547,0.0,0.0,230.27956080906293,233.7404259683993,1796410.8538715,1823409.062979483,3.460865159336369,3.2699653890526856
6-10,7012,0.25825901363845255,0.17714899960161823,0.0,0.0,719.0661651624358,779.1134413223876,5042091.950119,5463143.450552582,60.04727615995173,7.794209925841415
11-50,12382,0.29683690382616335,0.16693031738603015,0.0,0.0,1573.7386876895494,1591.0902774420865,19486032.430972,19700879.815287914,17.35158975253697,23.46107252463253
51+,2812,0.14956226106309284,0.10943420339024991,0.0,0.0,3951.0367893278803,3864.1998905138844,11110315.45159,10866130.092125043,-86.83689881399626,79.52347083926031
