fold_id,row_count,rmsle,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion,validation_start,validation_end,validation_rmsle,rmsle_delta_vs_previous_fold
1,28512,0.3810847711959098,0.2675721241794957,0.14299242424242425,0.004910213243546577,484.8021121624264,483.4675507189017,13822677.8219751,13784626.806097325,-1.3345614435246322,8.464611391694724,2017-06-29,2017-07-14,0.3810847712432582,
2,28512,0.40071624533446004,0.2802403289803051,0.14737654320987653,0.0010872615039281706,481.7630417048892,466.8807204973548,13736027.8450898,13311703.102820579,-14.882321207534382,6.691358024691358,2017-07-15,2017-07-30,0.4007162453075691,0.019631474138550264
3,28512,0.4230024893935411,0.2965669898588582,0.14576318742985409,0.0006313131313131314,467.14294969304154,494.4522522641201,13319179.781648,14097822.616554592,27.30930257107853,5.924768518518518,2017-07-31,2017-08-15,0.4230024894076367,0.022286244059081084
