store_nbr,city,state,store_type,cluster,row_count,rmsle,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion
19,Guaranda,Bolivar,C,15,1584,0.48996479226230405,0.3288881230685441,0.15467171717171718,0.003787878787878788,284.5445953074495,277.6660587922375,450718.638967,439823.0371269042,-6.878536515212023,6.148989898989899
26,Guayaquil,Guayas,D,10,1584,0.4694505423973784,0.3472704050991461,0.2159090909090909,0.0012626262626262627,152.43569885479798,151.1736312828979,241458.146986,239459.0319521103,-1.2620675719000671,4.726641414141414
22,Puyo,Pastaza,C,7,1584,0.46182866566528324,0.34046303288191304,0.19633838383838384,0.0012626262626262627,219.6547360915404,205.20380751892583,347933.101969,325042.8311099785,-14.450928572614593,6.1811868686868685
14,Riobamba,Chimborazo,C,7,1584,0.46181074572714487,0.3294959910037132,0.19886363636363635,0.0012626262626262627,250.40327967045457,241.5253052339936,396638.794998,382576.08349064586,-8.877974436460956,5.770833333333333
32,Guayaquil,Guayas,C,3,1584,0.45006524828928424,0.31514838596751643,0.30997474747474746,0.003787878787878788,153.74776895075757,128.70331377737045,243536.466018,203866.0490233548,-25.044455173387114,4.8232323232323235
30,Guayaquil,Guayas,C,3,1584,0.4436491356559209,0.32834549092757304,0.21843434343434343,0.0025252525252525255,202.2367051489899,189.19893560460056,320342.940956,299691.1139976873,-13.03776954438934,5.529040404040404
25,Salinas,Santa Elena,D,1,1584,0.4406603831773779,0.3266871802275238,0.15214646464646464,0.0031565656565656565,257.1649697664141,218.75240895167397,407349.31211,346503.8157794516,-38.41256081474016,5.640782828282828
10,Quito,Pichincha,C,15,1584,0.44046126237718364,0.3176750151408773,0.24621212121212122,0.015782828282828284,200.73671025126265,188.2904412853877,317966.949038,298252.0589960541,-12.446268965874943,5.527777777777778
36,Libertad,Guayas,E,10,1584,0.43990959455395523,0.3153932162534163,0.20517676767676768,0.0012626262626262627,366.35866852714645,337.4569874465971,580312.130947,534531.8681154099,-28.901681080549366,7.398989898989899
35,Playas,Guayas,C,3,1584,0.4340850290591153,0.3162415001219664,0.30113636363636365,0.0031565656565656565,163.96774178914143,154.95024184048532,259724.902994,245441.18307532874,-9.017499948656102,5.661616161616162
47,Quito,Pichincha,A,14,1584,0.4275204147502627,0.24938331125763147,0.08396464646464646,0.0012626262626262627,1156.2267636174242,1165.3736214848693,1831463.19357,1845951.816432033,9.146857867445013,8.428030303030303
28,Guayaquil,Guayas,E,10,1584,0.4271206876057291,0.30921428831565645,0.1407828282828283,0.001893939393939394,469.66020959343433,463.7067837482037,743941.771996,734511.5454571546,-5.953425845230633,8.08270202020202
50,Ambato,Tungurahua,A,14,1584,0.42512019640092474,0.27315982530158633,0.10101010101010101,0.0012626262626262627,655.9588591281565,673.4010879285244,1039038.832859,1066667.3232787827,17.44222880036778,7.70580808080808
16,Santo Domingo,Santo Domingo de los Tsachilas,C,3,1584,0.4243912775611951,0.309642350734389,0.2518939393939394,0.005681818181818182,196.0155946881313,192.69334823577424,310488.701986,305226.2636054664,-3.322246452357076,6.38699494949495
54,El Carmen,Manabi,C,3,1584,0.42278350473175436,0.29957630059084606,0.25315656565656564,0.003787878787878788,315.1796401401515,285.39394747600863,499244.54998199997,452064.0128019977,-29.78569266414287,5.686868686868687
40,Machala,El Oro,C,3,1584,0.4225445386915671,0.3020203649208647,0.17992424242424243,0.003787878787878788,512.7831161837122,471.4373019325177,812248.456035,746756.686261108,-41.34581425119444,7.246843434343434
48,Quito,Pichincha,A,14,1584,0.42191827420002936,0.26253923366790577,0.11237373737373738,0.0012626262626262627,787.3977500669191,777.6397687660918,1247238.036106,1231781.3937254895,-9.757981300827304,7.871843434343434
21,Santo Domingo,Santo Domingo de los Tsachilas,B,6,1584,0.41955167266241855,0.305489476567498,0.12247474747474747,0.0006313131313131314,423.65717876073234,395.84834720081267,671072.971157,627023.7819660873,-27.80883155991963,8.096590909090908
44,Quito,Pichincha,A,5,1584,0.4189034271151149,0.24836059454728032,0.07954545454545454,0.0012626262626262627,1353.5648591856059,1389.1053569876292,2144046.73695,2200342.8854684047,35.540497802023125,8.676136363636363
20,Quito,Pichincha,B,6,1584,0.41846195577413386,0.29600567977541564,0.13131313131313133,0.0025252525252525255,510.1207708119318,473.1929360164901,808031.3009661,749537.6106501203,-36.92783479544172,8.4135101010101
34,Guayaquil,Guayas,B,6,1584,0.4182713479465154,0.2964248106353924,0.10542929292929293,0.0,328.3316060972222,325.96440271679444,520077.264058,516327.6139034024,-2.3672033804277772,7.299873737373737
15,Ibarra,Imbabura,C,15,1584,0.418184761611775,0.29683312657053706,0.16603535353535354,0.003787878787878788,232.74178787436867,237.45265517667076,368662.991993,376125.0057998465,4.710867302302093,6.488636363636363
45,Quito,Pichincha,A,11,1584,0.41815407714848485,0.23544299304057242,0.07891414141414141,0.0012626262626262627,1255.32798589899,1249.3846520018126,1988439.529664,1979025.2887708712,-5.943333897177243,8.617424242424242
13,Latacunga,Cotopaxi,C,15,1584,0.41655765850689314,0.30427311023790204,0.22285353535353536,0.004419191919191919,208.07079927335857,199.8620597006242,329584.146049,316581.50256578875,-8.208739572734393,5.299242424242424
18,Quito,Pichincha,B,16,1584,0.4136879161748241,0.2973764042878907,0.1111111111111111,0.0006313131313131314,317.4518440034722,332.91047930411,502843.7209015,527330.1992177103,15.458635300637821,8.073232323232324
43,Esmeraldas,Esmeraldas,E,10,1584,0.4121387902715491,0.29379202218927863,0.1875,0.0025252525252525255,491.10749418939395,472.7099388648489,777914.270796,748772.5431619206,-18.397555324545095,7.53219696969697
11,Cayambe,Pichincha,B,6,1584,0.40972651573644303,0.3051143858487179,0.10669191919191919,0.0006313131313131314,620.1220056957071,604.0212832707457,982273.257022,956769.7127008612,-16.10072242496142,8.47411616161616
33,Quevedo,Los Rios,C,3,1584,0.4080789688235544,0.2895401018369741,0.22537878787878787,0.005050505050505051,311.2938327695707,297.9348402108976,493089.431107,471928.78689406184,-13.358992558673082,7.958964646464646
12,Latacunga,Cotopaxi,C,15,1584,0.4077901699306111,0.29962202982342395,0.18055555555555555,0.001893939393939394,235.7311862506313,239.28904565151822,373398.199021,379033.8483120049,3.5578594008869198,6.2771464646464645
39,Cuenca,Azuay,B,6,1584,0.399805699829684,0.2929465312468923,0.09848484848484848,0.0006313131313131314,511.22484985606064,517.0215914070006,809780.162172,818962.2007886891,5.796741550940097,8.542929292929292
9,Quito,Pichincha,B,6,1584,0.397899893467203,0.2735684829274239,0.09722222222222222,0.0012626262626262627,555.0694633974116,544.9382958935138,879230.0300215,863182.2606953259,-10.131167503897816,8.630050505050505
41,Machala,El Oro,D,4,1584,0.39686408609813306,0.29048855169292487,0.10606060606060606,0.0012626262626262627,412.062732885101,412.14139745490786,652707.36889,652831.9735685741,0.07866456980686742,6.346590909090909
23,Ambato,Tungurahua,D,9,1584,0.3963262511934713,0.28796374157702004,0.1597222222222222,0.0031565656565656565,240.07414131218434,253.52464151954084,380277.4398385,401583.0321669527,13.450500207356503,5.784722222222222
31,Babahoyo,Los Rios,B,10,1584,0.39543827114263397,0.29124164547374853,0.13573232323232323,0.0006313131313131314,435.8681730164141,420.3387406954433,690415.186058,665816.5652615821,-15.529432320970855,7.766414141414141
17,Quito,Pichincha,C,12,1584,0.39493457119185815,0.27549321870105803,0.16351010101010102,0.0025252525252525255,423.22958335227275,429.80186596914325,670395.66003,680806.1556951229,6.572282616870503,7.171085858585859
29,Guayaquil,Guayas,E,10,1584,0.3937867192008965,0.28529103010909207,0.13825757575757575,0.0012626262626262627,388.31744135164143,375.3701163394935,615094.827101,594586.2642817578,-12.947325012147884,8.244949494949495
53,Manta,Manabi,D,13,1584,0.3905006335270483,0.2777616398322444,0.11742424242424243,0.0012626262626262627,357.6038396212121,358.5412582442745,566444.48196,567929.3530589308,0.9374186230624189,6.198863636363637
5,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1584,0.3889276153634477,0.28074521029435967,0.09974747474747475,0.0006313131313131314,308.6085492483586,320.53388136205086,488835.9420094,507725.6680774886,11.9253321136923,6.421085858585859
38,Loja,Loja,D,4,1584,0.38030962494075066,0.26742370669869325,0.12247474747474747,0.0025252525252525255,406.8211477630682,411.67328249234936,644404.6980567,652090.4794678814,4.852134729281142,6.506944444444445
27,Daule,Guayas,D,1,1584,0.37507470480178756,0.2744472509925427,0.0946969696969697,0.0,462.305029571654,469.09454983536256,732291.1668415,743045.7669392143,6.789520263708565,6.806818181818182
1,Quito,Pichincha,D,13,1584,0.37340778267062397,0.26394568061815626,0.12436868686868686,0.005681818181818182,309.32167369867426,330.6106359551946,489965.5311387,523687.2473530282,21.288962256520346,6.174873737373737
51,Guayaquil,Guayas,A,17,1584,0.3650862912656955,0.25645843427973924,0.09217171717171717,0.0006313131313131314,721.8959407632576,745.5893158942743,1143483.170169,1181013.4763765305,23.693375131016683,7.075757575757576
42,Cuenca,Azuay,D,2,1584,0.36173861299763604,0.2553071614947967,0.125,0.0031565656565656565,385.38932510921717,404.6644230162168,610456.690973,640988.4460576874,19.275097906999598,6.480429292929293
37,Cuenca,Azuay,D,2,1584,0.3563247798592849,0.2600758423995267,0.12815656565656566,0.0,409.9639450691288,429.00213872941237,649382.8889895,679539.3877473891,19.03819366028355,6.917929292929293
52,Manta,Manabi,A,11,1584,0.3550164199429066,0.2561956620058715,0.08712121212121213,0.0012626262626262627,693.9531665675505,723.8017057207682,1099221.815843,1146501.9018616967,29.848539153217704,7.46780303030303
2,Quito,Pichincha,D,13,1584,0.34507262738048256,0.2443481822591096,0.12436868686868686,0.004419191919191919,442.15782206439394,472.14694421743627,700377.99015,747880.759640419,29.989122153042363,7.032828282828283
7,Quito,Pichincha,D,8,1584,0.34459414558850743,0.24435749819338282,0.09217171717171717,0.0006313131313131314,574.3780784621213,640.9250778076552,909814.876284,1015225.3232473258,66.546999345534,7.113636363636363
