family,row_count,rmsle,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion
SCHOOL AND OFFICE SUPPLIES,2592,0.6710401160734761,0.42926606154647196,0.5513117283950617,0.023148148148148147,22.792824074074073,7.036062954678449,59079.0,18237.47517852654,-15.756761119395625,0.8499228395061729
LINGERIE,2592,0.6245775675120754,0.4963921182648101,0.10069444444444445,0.0,6.959104938271605,5.5852735481318705,18038.0,14477.029036757809,-1.3738313901397339,0.1882716049382716
GROCERY II,2592,0.6215630296258147,0.46007652454272074,0.016203703703703703,0.0,32.39274691358025,29.51712720235206,83962.0,76508.39370849654,-2.8756197112281843,0.42978395061728397
CELEBRATION,2592,0.5654543326802709,0.43148901069133233,0.021219135802469136,0.0,13.373842592592593,11.473559658720804,34665.0,29739.466635404322,-1.9002829338717886,0.020833333333333332
HARDWARE,2592,0.5299024553509288,0.43970356031109076,0.38425925925925924,0.00038580246913580245,1.4814814814814814,1.1254977809030944,3840.0,2917.290248100821,-0.355983700578387,0.0015432098765432098
MAGAZINES,2592,0.5262170163546679,0.4235612139191499,0.1554783950617284,0.0,6.474537037037037,5.4205586121191915,16782.0,14050.087922612944,-1.0539784249178459,0.002700617283950617
AUTOMOTIVE,2592,0.5051655306269877,0.3955866762845612,0.032407407407407406,0.0,7.285108024691358,6.148242082691652,18883.0,15936.243478336763,-1.136865941999706,0.03665123456790124
LADIESWEAR,2592,0.5030362343083435,0.3766265331351825,0.29282407407407407,0.005401234567901234,11.266203703703704,10.750995066839474,29202.0,27866.579213247915,-0.5152086368642299,0.2029320987654321
"LIQUOR,WINE,BEER",2592,0.4947122438774151,0.3540177945411405,0.0007716049382716049,0.0,97.36574074074075,91.350859858696,252372.0,236781.42875374,-6.014880882044747,2.885030864197531
SEAFOOD,2592,0.47593666625121533,0.35821542790293864,0.08449074074074074,0.0,20.549881567476852,18.77266941967963,53265.2930229,48658.7591358096,-1.77721214779722,0.6361882716049383
PLAYERS AND ELECTRONICS,2592,0.4728787703796899,0.36532006888842394,0.033179012345679014,0.0,11.660108024691358,10.42887485531514,30223.0,27031.64362497684,-1.231233169376219,0.04398148148148148
PET SUPPLIES,2592,0.4720344473380588,0.37110376450788474,0.1099537037037037,0.0,8.770447530864198,8.217171625122015,22733.0,21298.90885231626,-0.553275905742183,0.021604938271604937
BEAUTY,2592,0.46614927232496306,0.36961638172158817,0.10455246913580248,0.0,6.016589506172839,5.258349550515079,15595.0,13629.642034935085,-0.7582399556577606,0.6766975308641975
HOME AND KITCHEN I,2592,0.4519531136996135,0.34215555326600794,0.0007716049382716049,0.0,31.487654320987655,29.996921541018878,81616.0,77752.02063432093,-1.4907327799687793,2.888503086419753
HOME AND KITCHEN II,2592,0.4452761694102567,0.32863833675889254,0.0007716049382716049,0.0,30.587577160493826,27.521701246804568,79283.0,71336.24963171744,-3.065875913689259,0.7064043209876543
LAWN AND GARDEN,2592,0.4131218037365772,0.30720271945314165,0.28742283950617287,0.008101851851851851,16.048225308641975,15.388036191613674,41597.0,39885.789808662645,-0.6601891170282996,0.5027006172839507
HOME APPLIANCES,2592,0.38875011793946895,0.3371250608870434,0.7662037037037037,0.0015432098765432098,0.33217592592592593,0.44095287878450595,861.0,1142.9498618094394,0.10877695285858005,0.006558641975308642
CLEANING,2592,0.3224380527561157,0.2095709209319826,0.0,0.0,1311.5478395061727,1313.1020835818892,3399532.0,3403560.600644257,1.5542440757164866,23.791666666666668
BABY CARE,2592,0.3171861056954425,0.26098831982755727,0.8738425925925926,0.015817901234567902,0.2010030864197531,0.2840081613997074,521.0,736.1491543480416,0.08300507497995434,0.0007716049382716049
EGGS,2592,0.30814531186963556,0.21527102270306098,0.0,0.0,199.38695987654322,192.220919580832,516811.0,498236.6235535165,-7.16604029571122,3.627314814814815
FROZEN FOODS,2592,0.28195597318496807,0.2104641633191029,0.0,0.0,131.76311072723766,130.3100506234453,341529.983005,337763.6512159702,-1.4530601037923534,1.7465277777777777
PREPARED FOODS,2592,0.2770843271966885,0.20699721193174245,0.0,0.0,89.44219134953704,87.89020406236129,231834.159978,227811.40892964046,-1.5519872871757538,0.19753086419753085
HOME CARE,2592,0.22034996392893755,0.1664517416279547,0.0,0.0,318.0783179012346,319.4162020910704,824459.0,827926.7958200544,1.337884189835794,10.282407407407407
PERSONAL CARE,2592,0.21968113442477266,0.16007808194117093,0.0,0.0,317.9332561728395,310.52031906726904,824083.0,804868.6670223613,-7.4129371055704905,7.035108024691358
BOOKS,2592,0.21619587867220055,0.19902930817423103,0.9810956790123457,0.018518518518518517,0.02199074074074074,0.21705578918988108,57.0,562.6086055801718,0.19506504844914038,0.0
BEVERAGES,2592,0.21282264001333542,0.1530049439713058,0.0,0.0,3595.8996913580245,3576.316115086254,9320572.0,9269811.37030357,-19.583576271771367,28.673996913580247
MEATS,2592,0.20969388673618788,0.1555784375720156,0.0,0.0,381.9731280385802,372.08956947704917,990074.347876,964456.1640845115,-9.883558561531052,4.835262345679013
POULTRY,2592,0.20626480834684455,0.15289634262764848,0.0,0.0,393.0142862010031,385.7879888114654,1018693.029833,999962.4669993185,-7.2262973895376446,4.116512345679013
DELI,2592,0.17697656125983258,0.1360836393565877,0.0,0.0,316.5109456049383,325.3388723983602,820396.371008,843278.3572565496,8.827926793421948,15.152777777777779
BREAD/BAKERY,2592,0.16899722311791976,0.12758753912211163,0.0,0.0,547.0781936766975,553.637142464428,1418026.67801,1435027.4732677974,6.558948787730435,9.839891975308642
DAIRY,2592,0.15473312213626575,0.12148424326806263,0.0,0.0,871.875,939.7594842656288,2259900.0,2435856.58321651,67.88448426562876,25.29861111111111
PRODUCE,2592,0.15089381080799757,0.1140035958128423,0.0,0.0,2340.521011566358,2457.2853061351384,6066630.46198,6369283.513502278,116.76429456878036,28.665895061728396
GROCERY I,2592,0.15017784884204854,0.11258755439549144,0.0,0.0,4630.697964506173,4644.197582614376,12002769.124,12037760.134136463,13.499618108203045,58.523533950617285
