store_nbr,city,state,store_type,cluster,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
38,Loja,Loja,D,4,0,16,32,1.2440503748861131,0.18278755580657954,1.0612628190795337,1.514250044696535,0.02804166749438028,0.03817101434518446,0.018518518518518517,0.018518518518518517,False,0.625,4.9375,0.20890745337166217,-4.728592546628338,0.0
9,Quito,Pichincha,B,6,6-10,15,2,1.501074733254258,0.8932480134047912,0.6078267198494668,1.4553333413627354,0.025266203843103047,0.05209951422896846,0.017361111111111112,0.0011574074074074073,False,0.0,145.2,31.893540858500558,-113.30645914149945,8.066666666666666
8,Quito,Pichincha,D,8,0,16,32,0.733580141376922,0.3806436294504091,0.3529365119265129,0.39325025118140444,0.007282412058914897,0.01327250508036502,0.018518518518518517,0.018518518518518517,False,0.4375,1.5625,0.4037171091928335,-1.1587828908071665,0.0
51,Guayaquil,Guayas,A,17,0,16,32,0.8479885067635378,0.584243466676739,0.2637450400867988,0.3777440792486007,0.006995260726825939,0.01773526573926227,0.018518518518518517,0.018518518518518517,False,0.25,3.875,4.396970607442628,0.5219706074426285,0.0
43,Esmeraldas,Esmeraldas,E,10,0,16,32,0.728407501052928,0.5744480954210759,0.15395940563185206,0.20058687325726965,0.0037145717269864748,0.013085990086267077,0.018518518518518517,0.018518518518518517,False,0.25,2.3125,2.392454653802425,0.07995465380242485,0.0
36,Libertad,Guayas,E,10,0,16,32,0.6200421182228844,0.4550463174709168,0.16499580075196757,0.17738507732647887,0.0032849088393792384,0.00948200435707764,0.018518518518518517,0.018518518518518517,False,0.4375,1.125,0.4424904715770924,-0.6825095284229076,0.0
52,Manta,Manabi,A,11,0,16,32,0.695197334707959,0.5784707108935914,0.1167266238143676,0.14867097082331304,0.0027531661263576488,0.011919937132218051,0.018518518518518517,0.018518518518518517,False,0.0,6.0,3.4327027457866923,-2.5672972542133077,0.0
3,Quito,Pichincha,D,8,0,16,32,0.5109274778259281,0.369669671454598,0.14125780637133006,0.12439122160421381,0.0023035411408187743,0.006438375285517642,0.018518518518518517,0.018518518518518517,False,0.375,1.0,1.1655979328732722,0.1655979328732723,0.0
26,Guayaquil,Guayas,D,10,0,16,32,0.5057430300449798,0.428631040667033,0.07711198937794678,0.07205144341577363,0.0013342859891809931,0.006308376139901444,0.018518518518518517,0.018518518518518517,False,0.5,0.8125,0.44654963422908167,-0.3659503657709184,0.0
31,Babahoyo,Los Rios,B,10,0,15,32,0.6313140001294048,0.5682726344122175,0.06304136571718721,0.07562357973758832,0.0013129093704442416,0.00921552083380137,0.017361111111111112,0.018518518518518517,False,0.4,1.4666666666666666,1.639388342728513,0.17272167606184638,0.0
42,Cuenca,Azuay,D,2,0,16,32,0.3061457174736763,0.17203828876347518,0.13410742871020112,0.06412802752680716,0.0011875560653112436,0.0023116077689034147,0.018518518518518517,0.018518518518518517,False,0.75,0.25,0.2522375522907988,0.0022375522907987985,0.0
17,Quito,Pichincha,C,12,0,10,32,0.38239634378482273,0.2359642566329585,0.14643208715186423,0.09054783333165566,0.001048007330227496,0.002254058835187313,0.011574074074074073,0.018518518518518517,False,0.8,0.3,0.2019338429831125,-0.09806615701688749,0.0
7,Quito,Pichincha,D,8,0,16,32,0.37488983534852593,0.30287894554789896,0.07201088980062698,0.04880673299143774,0.0009038283887303286,0.003466291630458248,0.018518518518518517,0.018518518518518517,False,0.625,0.4375,0.31784649430924616,-0.11965350569075385,0.0
11,Cayambe,Pichincha,B,6,2-5,7,3,0.422414193629054,0.3010784053263528,0.1213357883027012,0.08778554482542437,0.0007112254789096883,0.0019253639262039354,0.008101851851851851,0.001736111111111111,False,0.0,16.714285714285715,13.320300637103179,-3.393985077182535,4.428571428571429
30,Guayaquil,Guayas,C,3,0,16,32,0.2501285341688708,0.17921776761795355,0.07091076655091727,0.030445275375505183,0.0005638013958426885,0.0015430650831683012,0.018518518518518517,0.018518518518518517,False,0.875,0.125,0.18965695514359882,0.06465695514359882,0.0
10,Quito,Pichincha,C,15,0,11,32,0.22912963897304553,0.09696079383990751,0.13216884513313804,0.04309899591385314,0.0005487140683476673,0.0008902111143103538,0.01273148148148148,0.018518518518518517,False,1.0,0.0,0.23524054367096675,0.23524054367096675,0.0
13,Latacunga,Cotopaxi,C,15,0,9,32,0.25748706622360124,0.15150548010107498,0.10598158612252626,0.04334567877177997,0.0004515174872060414,0.000919795187097578,0.010416666666666666,0.018518518518518517,False,1.0,0.0,0.2447679652093021,0.2447679652093021,0.0
34,Guayaquil,Guayas,B,6,0,16,32,0.6261297566323999,0.618324019399299,0.007805737233100851,0.009713879174443552,0.0001798866513785843,0.009669108998889878,0.018518518518518517,0.018518518518518517,False,0.0,4.8125,2.243798790297447,-2.568701209702553,0.0
14,Riobamba,Chimborazo,C,7,0,9,32,0.31836579505542306,0.2912074045828646,0.02715839047255847,0.01655502697738344,0.00017244819768107747,0.0014061546828759294,0.010416666666666666,0.018518518518518517,False,0.7777777777777778,0.2222222222222222,0.2790787693532506,0.05685654713102839,0.0
16,Santo Domingo,Santo Domingo de los Tsachilas,C,3,0,16,32,0.17593490843757598,0.14830701454728354,0.027627893890292438,0.00895812144301008,0.00016589113783352,0.0007634169647525205,0.018518518518518517,0.018518518518518517,False,1.0,0.0,0.18612880250574923,0.18612880250574923,0.0
