family,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
SCHOOL AND OFFICE SUPPLIES,864,1728,0.8665113108514519,0.547742028835752,0.3187692820157,0.4508205216803957,0.01366122792970896,0.12715946317730145,0.030303030303030304,0.030303030303030304,False,0.4837962962962963,59.947916666666664,18.501495921897522,-41.44642074476914,2.2974537037037037
HOME AND KITCHEN I,864,1728,0.4944284982841068,0.42914176622233485,0.06528673206177193,0.0602968843990519,0.0018271783151227847,0.041400654196771254,0.030303030303030304,0.030303030303030304,False,0.0011574074074074073,31.27314814814815,26.10442846000844,-5.168719688139713,0.8530092592592593
GROCERY II,864,1728,0.6519916912366096,0.605775797614633,0.046215893621976645,0.05812884846592975,0.0017614802565433258,0.07199201614280416,0.030303030303030304,0.030303030303030304,False,0.017361111111111112,28.971064814814813,33.24097149083831,4.269906676023502,0.24189814814814814
LADIESWEAR,864,1728,0.5376451070481268,0.48480619733485486,0.052838909713271986,0.05402521215850961,0.001637127641166958,0.04895438614763522,0.030303030303030304,0.030303030303030304,False,0.3159722222222222,10.082175925925926,11.29586031463422,1.2136843887082942,0.6006944444444444
MAGAZINES,864,1728,0.5482571376545989,0.5148432557169282,0.0334138819376707,0.03552231103200748,0.0010764336676365902,0.05090597998660327,0.030303030303030304,0.030303030303030304,False,0.1423611111111111,7.113425925925926,5.627805529720406,-1.4856203962055206,0.0
LAWN AND GARDEN,864,1728,0.43893749656233494,0.39958900653000906,0.03934849003232588,0.0329947517487702,0.0009998409620839456,0.03262913632290875,0.030303030303030304,0.030303030303030304,False,0.2974537037037037,14.939814814814815,15.43201399839733,0.49219918358251646,0.5023148148148148
HOME AND KITCHEN II,864,1728,0.46614700477138804,0.4344649416677245,0.03168206310366356,0.028533244518997247,0.000864643773302947,0.036799846714441344,0.030303030303030304,0.030303030303030304,False,0.0,31.005787037037038,29.329196047044228,-1.676590989992808,0.9155092592592593
HOME CARE,864,1728,0.25933546198756896,0.1979992903600243,0.06133617162754465,0.028051162861232624,0.0008500352382191705,0.01139000796304997,0.030303030303030304,0.030303030303030304,False,0.0,291.5428240740741,337.9121412706012,46.369317196527106,6.766203703703703
SEAFOOD,864,1728,0.4942694041976788,0.46650020735313397,0.02776919684454482,0.02667980046541138,0.000808478801982163,0.04137401520010091,0.030303030303030304,0.030303030303030304,False,0.08564814814814815,19.97791553472222,18.71879002537069,-1.259125509351533,0.42824074074074076
BEVERAGES,864,1728,0.2402042995582281,0.1977148486842583,0.042489450873969825,0.01860694413601984,0.0005638467920006013,0.009771511946424272,0.030303030303030304,0.030303030303030304,False,0.0,3478.480324074074,3718.4806543017517,240.00033022767767,19.0625
"LIQUOR,WINE,BEER",864,1728,0.5052081654301114,0.4893798740801578,0.01582829134995356,0.015742629262547658,0.0004770493715923533,0.0432255906275164,0.030303030303030304,0.030303030303030304,False,0.0011574074074074073,97.32754629629629,92.72041685406737,-4.60712944222894,3.1319444444444446
DELI,864,1728,0.20220767911403129,0.16290206292951412,0.03930561618451717,0.014350863385991668,0.00043487464806035356,0.006924612934902404,0.030303030303030304,0.030303030303030304,False,0.0,303.1283495416667,330.1748792564727,27.0465297148061,12.450231481481481
LINGERIE,864,1728,0.6311597781529902,0.6212603109646436,0.009899467188346556,0.012398291578246179,0.0003757058054013994,0.06746504950217366,0.030303030303030304,0.030303030303030304,False,0.08680555555555555,7.773148148148148,5.980443279452254,-1.7927048686958935,0.5324074074074074
BREAD/BAKERY,864,1728,0.189654975919501,0.15765654818889915,0.03199842773060185,0.01111342270418782,0.00033677038497538844,0.006091562394388496,0.030303030303030304,0.030303030303030304,False,0.0,540.272570474537,564.3481295845505,24.07555911001343,10.597222222222221
BEAUTY,864,1728,0.47368335016054625,0.46233619588344965,0.011347154277096594,0.010621158195339125,0.00032185327864664014,0.03799937495051963,0.030303030303030304,0.030303030303030304,False,0.09259259259259259,6.663194444444445,5.724624800760642,-0.9385696436838024,0.8067129629629629
MEATS,864,1728,0.2259094324008493,0.20109637833127883,0.02481305406957046,0.010595318269717068,0.0003210702505974869,0.008643088152433453,0.030303030303030304,0.030303030303030304,False,0.0,371.6094058368056,379.94224093480665,8.332835098001082,4.08912037037037
GROCERY I,864,1728,0.17203803437307694,0.1379548360470258,0.03408319832605114,0.010565548482190237,0.00032016813582394656,0.0050124396575347485,0.030303030303030304,0.030303030303030304,False,0.0,4606.958893518518,4758.191970948542,151.23307743002377,48.06481481481482
CLEANING,864,1728,0.33237048462942115,0.3173552855575834,0.015015199071837737,0.00975576178146094,0.0002956291448927558,0.018708764761544486,0.030303030303030304,0.030303030303030304,False,0.0,1232.920138888889,1402.8898478540484,169.96970896515938,15.94212962962963
AUTOMOTIVE,864,1728,0.5112614081083795,0.5020898388635121,0.009171569244867395,0.009294021130975383,0.000281637003968951,0.04426762652954318,0.030303030303030304,0.030303030303030304,False,0.028935185185185185,7.385416666666667,6.3414223807779075,-1.0439942858887594,0.01273148148148148
DAIRY,864,1728,0.16969491595247382,0.1466810361941728,0.02301387975830102,0.007281038121120926,0.00022063751882184625,0.004876832907424003,0.030303030303030304,0.030303030303030304,False,0.0,834.5300925925926,919.1812144140815,84.6511218214889,21.59027777777778
PRODUCE,864,1728,0.16559562947182718,0.14297712040796706,0.02261850906386012,0.0069794555400163605,0.0002114986527277685,0.0046440614149327744,0.030303030303030304,0.030303030303030304,False,0.0,2288.7504353703703,2465.077622592286,176.32718722191532,28.69560185185185
POULTRY,864,1728,0.21599470608859217,0.20122350810576808,0.014771197982824086,0.006162812843905199,0.00018675190436076363,0.007901079426026006,0.030303030303030304,0.030303030303030304,False,0.0,374.4910519791666,391.9658741947863,17.47482221561958,3.5949074074074074
PREPARED FOODS,864,1728,0.28400657420088005,0.2735575249785725,0.01044904922230755,0.005826014716917655,0.0001765459005126562,0.013660198182202767,0.030303030303030304,0.030303030303030304,False,0.0,87.81441440046295,89.26944416360745,1.4550297631444755,0.22106481481481483
FROZEN FOODS,864,1728,0.2874578948959979,0.27916435222464264,0.008293542671355236,0.004699305785034233,0.00014240320560709796,0.013994219944094943,0.030303030303030304,0.030303030303030304,False,0.0,127.33120136226852,130.16017727048515,2.828975908216621,1.7685185185185186
PET SUPPLIES,864,1728,0.47433702749330664,0.4708789349557134,0.003458092537593216,0.003268644266158943,9.90498262472407e-05,0.03810432467714328,0.030303030303030304,0.030303030303030304,False,0.11689814814814815,8.429398148148149,8.12841747129871,-0.3009806768494386,0.0
PERSONAL CARE,864,1728,0.22297539023786866,0.21801534099087533,0.004960049246993337,0.0021873357443621816,6.628290134430853e-05,0.008420038533429711,0.030303030303030304,0.030303030303030304,False,0.0,321.3321759259259,330.436964797915,9.104788871989022,8.862268518518519
EGGS,864,1728,0.3100033431033054,0.30721208223837754,0.002791260864927869,0.0017228092619860497,5.220634127230453e-05,0.016275448617303654,0.030303030303030304,0.030303030303030304,False,0.0,199.68634259259258,197.3278845469263,-2.35845804566632,3.4652777777777777
HARDWARE,864,1728,0.5302301843483626,0.5297385148196847,0.0004916695286778516,0.0005211543107331851,1.5792554870702578e-05,0.047613390465632156,0.030303030303030304,0.030303030303030304,False,0.375,1.4490740740740742,1.1661603244082548,-0.28291374966581934,0.0
BOOKS,864,1728,0.2125486100791121,0.21799663095787986,-0.005448020878767751,-0.0023456194624236273,0.0,0.007650974461475721,0.030303030303030304,0.030303030303030304,False,0.9907407407407407,0.010416666666666666,0.22151284289323436,0.2110961762265677,0.0
BABY CARE,864,1728,0.3131481373325547,0.3191859340759494,-0.006037796743394719,-0.003817904597087793,0.0,0.01660733243612638,0.030303030303030304,0.030303030303030304,False,0.8761574074074074,0.18518518518518517,0.29241482909342476,0.1072296439082396,0.0011574074074074073
CELEBRATION,864,1728,0.5603674149837796,0.5679807070953501,-0.007613292111570469,-0.008590443856930363,0.0,0.053179709479146416,0.030303030303030304,0.030303030303030304,False,0.015046296296296295,12.462962962962964,11.650384728939523,-0.8125782340234415,0.009259259259259259
PLAYERS AND ELECTRONICS,864,1728,0.4663085377255699,0.47612988882849144,-0.009821351102921538,-0.009256018680072364,0.0,0.036825355482450486,0.030303030303030304,0.030303030303030304,False,0.03009259259259259,11.671296296296296,10.761263939692912,-0.910032356603385,0.013888888888888888
HOME APPLIANCES,864,1728,0.3396035436458602,0.4111261337698124,-0.07152259012395218,-0.05369413101168802,0.0,0.019531906664014595,0.030303030303030304,0.030303030303030304,False,0.8530092592592593,0.20023148148148148,0.32765534580580924,0.12742386432432773,0.0
