promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
11-50,3481,8901,0.41834383147205983,0.2326532930593113,0.18569053841274855,0.12088400655938143,0.014758600828886321,0.11941454652773649,0.12208894500561167,0.1560921717171717,False,0.0,1880.4926142418847,2010.8865223195373,130.39390807765272,21.874174087905775
0,16031,32721,0.46132596964561057,0.447315348102041,0.014010621543569579,0.012730629621812678,0.007157853656961246,0.6687486091441915,0.5622544893378226,0.5738110269360269,False,0.2592477075665897,55.0991379518433,55.293973982436384,0.19483603059307864,0.0
6-10,3269,3743,0.2817832275302135,0.2358017098497406,0.0459815176804729,0.02379934094928282,0.0027286772433784212,0.050878192033693544,0.11465347923681257,0.06563902918069585,False,0.0,824.5991494787397,933.9954039139019,109.39625443516218,7.831446925665341
2-5,2664,5137,0.3863090860887851,0.35731227535920235,0.028996810729582767,0.021562647872381935,0.0020146918466619488,0.07792746300574689,0.09343434343434344,0.09008487654320987,False,0.0,214.57545229654653,227.21215126517458,12.636698968628039,3.235735735735736
51+,681,2131,0.15925809880029904,0.14632838260670186,0.012929716193597174,0.003951146477192476,9.437186977301053e-05,0.003385607724171191,0.023884680134680134,0.03737023007856341,False,0.0,3539.6855657415563,3434.5641145945483,-105.12145114700824,82.49045521292217
1,2386,4391,0.4126695160152032,0.4215706094521398,-0.008901093436936625,-0.0074256493056265305,0.0,0.07964558156446033,0.08368406285072952,0.07700266554433222,False,0.0,88.90243760771165,89.70939943167922,0.8069618239675593,1.0
