store_nbr,city,state,store_type,cluster,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
47,Quito,Pichincha,A,14,528,1056,0.5804280257379668,0.32513414310299377,0.25529388263497305,0.2311844820507558,0.004281194112051034,0.034867205527374386,0.018518518518518517,0.018518518518518517,False,0.08333333333333333,1101.8885814772727,1185.3324712486071,83.44388977133437,6.90719696969697
44,Quito,Pichincha,A,5,528,1056,0.5678154307910586,0.31939464640310566,0.2484207843879529,0.2204014232934705,0.0040815078387679725,0.03336835328663618,0.018518518518518517,0.018518518518518517,False,0.08712121212121213,1243.6578655,1396.2867072033123,152.62884170331222,7.090909090909091
50,Ambato,Tungurahua,A,14,528,1056,0.5442241744930442,0.3507146932060639,0.19350948128698026,0.17317915607201184,0.00320702140874096,0.030653216477692542,0.018518518518518517,0.018518518518518517,False,0.0946969696969697,618.3584091174242,717.8482342825986,99.48982516517431,6.225378787878788
48,Quito,Pichincha,A,14,528,1056,0.5395959443375864,0.3484833619889347,0.1911125823486517,0.16972312956246072,0.0031430209178233467,0.030134066846402602,0.018518518518518517,0.018518518518518517,False,0.11363636363636363,764.6609092291667,809.8027617564686,45.14185252730195,6.34280303030303
19,Guaranda,Bolivar,C,15,528,1056,0.5590789510565457,0.45145720697284303,0.10762174408370268,0.10875566378676693,0.0020139937738290173,0.03234943329990977,0.018518518518518517,0.018518518518518517,False,0.14204545454545456,285.0557859280303,291.6375516222232,6.58176569419292,5.450757575757576
38,Loja,Loja,D,4,528,1056,0.43975384363755404,0.3467872470793303,0.09296659655822376,0.07312204825714186,0.0013541120047618864,0.020014266661919432,0.018518518518518517,0.018518518518518517,False,0.11931818181818182,374.5899185814394,418.31228999270667,43.72237141126729,5.056818181818182
9,Quito,Pichincha,B,6,528,1056,0.4484066499551801,0.37007056890518,0.07833608105000012,0.06411629775422387,0.0011873388473004419,0.020809635968969523,0.018518518518518517,0.018518518518518517,False,0.0928030303030303,575.47988815625,538.9721521941962,-36.50773596205383,8.032196969696969
14,Riobamba,Chimborazo,C,7,528,1056,0.505277006416148,0.4384647314176596,0.06681227499848841,0.0630535325157037,0.0011676580095500684,0.026422838135335795,0.018518518518518517,0.018518518518518517,False,0.20454545454545456,258.8032973712121,259.8851131500496,1.0818157788375493,5.206439393939394
20,Quito,Pichincha,B,6,528,1056,0.46215258784729585,0.39480768155963414,0.06734490628766171,0.05771190903545903,0.0010687390562122041,0.022105033233914963,0.018518518518518517,0.018518518518518517,False,0.13825757575757575,547.1074490075757,511.01560304100315,-36.09184596657264,7.850378787878788
25,Salinas,Santa Elena,D,1,528,1056,0.48062084216202866,0.41925429394674235,0.06136654821528631,0.055222230927756216,0.0010226339060695594,0.02390702820411989,0.018518518518518517,0.018518518518518517,False,0.14583333333333334,293.4120021117424,243.8242260170235,-49.587776094718926,4.5227272727272725
36,Libertad,Guayas,E,10,528,1056,0.46884004694861003,0.4247059950831286,0.044134051865481416,0.03943580736322436,0.0007302927289485992,0.022749392054556936,0.018518518518518517,0.018518518518518517,False,0.19507575757575757,404.2452062973485,353.65051631765175,-50.594689979696746,6.702651515151516
42,Cuenca,Azuay,D,2,528,1056,0.3913991790377895,0.34595603409169273,0.04544314494609675,0.033507739827003113,0.0006205137005000576,0.015854779793072423,0.018518518518518517,0.018518518518518517,False,0.12310606060606061,344.06762876893936,407.18984559680655,63.122216827867156,5.0625
23,Ambato,Tungurahua,D,9,528,1056,0.42350597263407835,0.3820118998790972,0.041494072754981126,0.03342421720749933,0.0006189669853240616,0.01856262848383719,0.018518518518518517,0.018518518518518517,False,0.1534090909090909,228.00470644223483,255.52980194490715,27.525095502672304,4.378787878787879
2,Quito,Pichincha,D,13,528,1056,0.374106603179658,0.329597939889789,0.044508663289868966,0.03132094856302908,0.00058001756598202,0.014484754583234866,0.018518518518518517,0.018518518518518517,False,0.13068181818181818,404.6109869204546,469.51541053805386,64.90442361759932,5.458333333333333
43,Esmeraldas,Esmeraldas,E,10,528,1056,0.43170684140567656,0.4019977303561687,0.029709111049507853,0.024768621704955085,0.00045867817972139045,0.019288491143454656,0.018518518518518517,0.018518518518518517,False,0.19696969696969696,500.4386780492424,501.5511083771681,1.1124303279256953,6.801136363636363
7,Quito,Pichincha,D,8,528,1056,0.367505235046962,0.33254719795443893,0.03495803709252304,0.02447245891957396,0.0004531936836958141,0.013978077805638317,0.018518518518518517,0.018518518518518517,False,0.08712121212121213,542.1174584034092,616.2522731123837,74.13481470897455,5.551136363636363
37,Cuenca,Azuay,D,2,528,1056,0.3775284031233232,0.345234956993391,0.03229344612993218,0.023340519634617862,0.000432231845085516,0.014750938620047591,0.018518518518518517,0.018518518518518517,False,0.13446969696969696,372.1835435132576,437.97606550296166,65.79252198970408,5.193181818181818
34,Guayaquil,Guayas,B,6,528,1056,0.43611487371837804,0.4090578067098757,0.027057067008502356,0.022867893848102838,0.0004234795157056081,0.019684400418542258,0.018518518518518517,0.018518518518518517,False,0.10984848484848485,343.21989965151516,334.4561426665809,-8.763756984934297,6.651515151515151
17,Quito,Pichincha,C,12,528,1056,0.41290841920149496,0.385633624000821,0.02727479520067394,0.02178007068747087,0.0004033346423605717,0.017645252206104214,0.018518518518518517,0.018518518518518517,False,0.16287878787878787,418.33382390151513,439.6660727611695,21.332248859654367,6.40719696969697
39,Cuenca,Azuay,B,6,528,1056,0.41720444856648115,0.3908159675251566,0.02638848104132452,0.021322431431037348,0.0003948598413155065,0.018014335834128953,0.018518518518518517,0.018518518518518517,False,0.10037878787878787,495.6859604090909,548.7410992221321,53.05513881304123,7.994318181818182
8,Quito,Pichincha,D,8,528,1056,0.3336425587560025,0.3028669847845952,0.030775573971407344,0.019588946540740393,0.0003627582692729702,0.01152081705067389,0.018518518518518517,0.018518518518518517,False,0.08901515151515152,615.2015397462121,673.0696168755022,57.868077129290135,5.651515151515151
4,Quito,Pichincha,D,9,528,1056,0.35519959339404084,0.3299736960465622,0.025225897347478654,0.01728411106466296,0.00032007613082709187,0.013057658723183692,0.018518518518518517,0.018518518518518517,False,0.11931818181818182,355.0745095473485,393.0807069391869,38.006197391838356,5.202651515151516
54,El Carmen,Manabi,C,3,528,1056,0.4330460730506735,0.41755764526301453,0.015488427787658965,0.013174514267015769,0.00024397248642621795,0.019408349448224307,0.018518518518518517,0.018518518518518517,False,0.25757575757575757,334.4175738522727,301.42938277170947,-32.98819108056327,4.9772727272727275
12,Latacunga,Cotopaxi,C,15,528,1056,0.41838448029779807,0.40238842846312783,0.015996051834670233,0.013129125993032842,0.0002431319628339415,0.018116384364949813,0.018518518518518517,0.018518518518518517,False,0.16666666666666666,234.52349626704546,258.3048946874286,23.7813984203831,5.619318181818182
26,Guayaquil,Guayas,D,10,528,1056,0.47768114328493105,0.4652806468259664,0.012400496458964627,0.011693194339209123,0.00021654063591128005,0.023615469757201843,0.018518518518518517,0.018518518518518517,False,0.23106060606060605,141.29332765340908,158.84905138401217,17.555723730603102,3.537878787878788
16,Santo Domingo,Santo Domingo de los Tsachilas,C,3,528,1056,0.4329789286264879,0.42003161593832955,0.012947312688158352,0.011044194246776912,0.00020452211568105393,0.01940233132913459,0.018518518518518517,0.018518518518518517,False,0.23863636363636365,198.09487121401514,202.76516993052857,4.670298716513419,5.0625
22,Puyo,Pastaza,C,7,528,1056,0.4692196960386371,0.4580884336784421,0.011131262360195016,0.01032211008062256,0.00019115018667819554,0.022786250180995317,0.018518518518518517,0.018518518518518517,False,0.19886363636363635,230.56423481060608,218.54469866602906,-12.019536144577012,5.583333333333333
24,Guayaquil,Guayas,D,1,528,1056,0.35307875318680115,0.33996337578059177,0.013115377406209383,0.00908950907981021,0.0001683242422187076,0.012902193839328528,0.018518518518518517,0.018518518518518517,False,0.14204545454545456,509.05292389015153,554.1602622089233,45.10733831877178,5.486742424242424
40,Machala,El Oro,C,3,528,1056,0.42898060713685127,0.41928945862894423,0.009691148507907033,0.008220711182148399,0.0001522353922620074,0.019045646216216447,0.018518518518518517,0.018518518518518517,False,0.1875,544.982634469697,517.8503167646272,-27.13231770506975,6.6477272727272725
11,Cayambe,Pichincha,B,6,528,1056,0.4157098191262256,0.4067018560165529,0.009007963109672723,0.007408254030650319,0.00013718988945648738,0.017885494792363243,0.018518518518518517,0.018518518518518517,False,0.10416666666666667,644.4769147765152,616.6591655084545,-27.81774926806055,7.757575757575758
1,Quito,Pichincha,D,13,528,1056,0.37841299221321406,0.37087984833448273,0.00753314387873133,0.0056445307751490925,0.00010452834768794616,0.014820145632252674,0.018518518518518517,0.018518518518518517,False,0.12878787878787878,293.81747955492426,323.6970919385442,29.87961238361993,4.803030303030303
53,Manta,Manabi,D,13,528,1056,0.39510970974189386,0.3881755734347247,0.006934136307169159,0.005431406920946263,0.00010058160964715302,0.016156816730905917,0.018518518518518517,0.018518518518518517,False,0.125,338.59295795454545,371.6933720792145,33.10041412466904,4.850378787878788
33,Quevedo,Los Rios,C,3,528,1056,0.4122967240546424,0.40595365851418097,0.0063430655404614344,0.005190215805141701,9.61151075026241e-05,0.017593010499631957,0.018518518518518517,0.018518518518518517,False,0.22916666666666666,311.59810419507573,306.35139689252895,-5.246707302546828,5.7272727272727275
15,Ibarra,Imbabura,C,15,528,1056,0.4220385696965243,0.41624447757381905,0.005794092122705263,0.004857089200786452,8.994609631086022e-05,0.018434216289152216,0.018518518518518517,0.018518518518518517,False,0.1534090909090909,237.24147347348486,240.37700586939536,3.135532395910515,6.115530303030303
31,Babahoyo,Los Rios,B,10,528,1056,0.39907836617389186,0.39360559987429233,0.00547276629959953,0.004338174095621428,8.033655732632273e-05,0.01648301921159863,0.018518518518518517,0.018518518518518517,False,0.14772727272727273,447.0139793825757,452.94836622564833,5.934386843072538,7.049242424242424
