fold_id,row_count,squared_log_error_sum,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion,msle,rmsle,rmsle_delta_vs_prior_folds
1,28512,4140.6723881010585,0.2675721241794957,0.14299242424242425,0.004910213243546577,484.8021121624264,483.4675507189017,13822677.8219751,13784626.806097325,-1.3345614435246322,8.464611391694724,0.1452256028374389,0.3810847711959098,-0.009938957056216946
2,28512,4578.271896447293,0.2802403289803051,0.14737654320987653,0.0010872615039281706,481.7630417048892,466.8807204973548,13736027.8450898,13311703.102820579,-14.882321207534382,6.691358024691358,0.16057350927494715,0.40071624533446004,0.009692517082333318
3,28512,5101.683695216685,0.2965669898588582,0.14576318742985409,0.0006313131313131314,467.14294969304154,494.4522522641201,13319179.781648,14097822.616554592,27.30930257107853,5.924768518518518,0.1789311060331329,0.4230024893935411,0.0319787611414144
