family,store_nbr,city,state,store_type,cluster,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
HOME AND KITCHEN I,36,Libertad,Guayas,E,10,16,32,0.8809950128690379,0.4772408091631448,0.4037542037058931,0.548393422769423,0.00030774041681785804,0.002434183721512435,0.0005611672278338945,0.0005611672278338945,False,0.0,37.4375,14.583055392126216,-22.854444607873784,0.875
LADIESWEAR,45,Quito,Pichincha,A,11,16,32,0.8411522537353654,0.4088054635226936,0.4323467902126718,0.5404152069580802,0.00030326330356794624,0.002218991709352638,0.0005611672278338945,0.0005611672278338945,False,0.0,20.875,37.86173250639243,16.986732506392432,4.875
HOME AND KITCHEN II,23,Ambato,Tungurahua,D,9,16,32,0.8601802995638161,0.47044252822692856,0.3897377713368876,0.518593975393152,0.000291017943542734,0.0023205206499224804,0.0005611672278338945,0.0005611672278338945,False,0.0,21.3125,10.195764245527002,-11.116735754473,1.4375
HOME AND KITCHEN II,38,Loja,Loja,D,4,16,32,0.9333471987876679,0.6104896254751334,0.3228575733125345,0.4984394106720179,0.0002797078623299764,0.0027320768453020657,0.0005611672278338945,0.0005611672278338945,False,0.0,65.0625,59.915776697635486,-5.146723302364514,2.0
LAWN AND GARDEN,18,Quito,Pichincha,B,16,16,32,0.9192965813290428,0.5900102908981762,0.32928629043086655,0.49699406107751487,0.00027889677950477827,0.0026504385765370223,0.0005611672278338945,0.0005611672278338945,False,0.1875,3.6875,4.889305817377051,1.2018058173770503,0.125
MAGAZINES,43,Esmeraldas,Esmeraldas,E,10,16,32,0.9685273742911951,0.6660412867901864,0.3024860875010087,0.49443427904226944,0.0002774603137162006,0.002941915903193775,0.0005611672278338945,0.0005611672278338945,False,0.25,3.5,2.4650597692135734,-1.0349402307864266,0.0
SEAFOOD,34,Guayaquil,Guayas,B,6,16,32,0.8223950641121405,0.45964167300698,0.36275339110516047,0.4650631739113562,0.0002609782120714681,0.0021211307697814007,0.0005611672278338945,0.0005611672278338945,False,0.3125,2.75,2.497442322612176,-0.25255767738782403,0.125
SEAFOOD,35,Playas,Guayas,C,3,16,32,0.780839790790637,0.39740035340943236,0.3834394373812047,0.4517837379920242,0.00025352622782941875,0.0019121868475025306,0.0005611672278338945,0.0005611672278338945,False,0.5,1.375,0.28591394411046694,-1.089086055889533,0.0
CELEBRATION,15,Ibarra,Imbabura,C,15,16,32,0.9125744799922331,0.623981785848791,0.288592694143442,0.443438912462048,0.0002488433852200045,0.0026118190974918076,0.0005611672278338945,0.0005611672278338945,False,0.1875,3.875,1.5324908264926318,-2.342509173507368,0.0
CELEBRATION,12,Latacunga,Cotopaxi,C,15,16,32,0.7932072900094578,0.43420973274277946,0.3589975572666783,0.4406397129155921,0.00024727256617036595,0.0019732397146112754,0.0005611672278338945,0.0005611672278338945,False,0.0,13.75,8.424511389946717,-5.325488610053283,0.0
