family,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
LADIESWEAR,2-5,49,0,0.7212550246790149,,,,0.0,0.004996435146402963,0.0017185746352413019,0.0,True,0.0,15.46938775510204,28.944424663824986,13.475036908722943,3.7346938775510203
LADIESWEAR,6-10,35,0,0.41108209825442354,,,,0.0,0.0011593422007384706,0.0012275533108866443,0.0,True,0.0,32.74285714285714,44.3790799065949,11.636222763737758,7.8
CLEANING,2-5,14,0,0.40951627121788337,,,,0.0,0.0004602108264164082,0.0004910213243546577,0.0,True,0.0,280.5,378.3763408295962,97.8763408295962,4.0
BEVERAGES,2-5,20,0,0.29588804953761866,,,,0.0,0.0003432189962747495,0.0007014590347923681,0.0,True,0.0,1479.1,1872.1942944204534,393.0942944204533,4.3
DAIRY,1,5,0,0.12848247025666254,,,,0.0,1.6178722701616877e-05,0.00017536475869809202,0.0,True,0.0,683.8,647.8669555175575,-35.93304448244248,1.0
LADIESWEAR,11-50,5,0,0.10198143305993318,,,,0.0,1.0192921896264192e-05,0.00017536475869809202,0.0,True,0.0,43.8,44.97106977043274,1.1710697704327395,11.6
