fold_id,row_count,rmsle,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion,validation_start,validation_end,validation_rmsle,rmsle_delta_vs_previous_fold
1,28512,0.38159961487704724,0.26798678875817367,0.14299242424242425,0.004419191919191919,484.8021121624264,482.29943696889785,13822677.8219751,13751321.546857215,-2.5026751935285185,8.464611391694724,2017-06-29,2017-07-14,0.3815996149275929,
2,28512,0.4002733274222807,0.2801474312164893,0.14737654320987653,0.0007014590347923681,481.7630417048892,465.914277797837,13736027.8450898,13284147.888571927,-15.848763907052232,6.691358024691358,2017-07-15,2017-07-30,0.4002733273958668,0.01867371254523348
3,28512,0.4126842082665978,0.29369085421225044,0.14576318742985409,0.0,467.14294969304154,493.46632684980244,13319179.781648,14069711.911141567,26.323377156760888,5.924768518518518,2017-07-31,2017-08-15,0.4126842082730131,0.012410880844317074
