store_nbr,city,state,store_type,cluster,row_count,rmsle,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion
19,Guaranda,Bolivar,C,15,1584,0.4911584432386426,0.32988487556569845,0.15467171717171718,0.004419191919191919,284.5445953074495,277.74364150875994,450718.638967,439945.9281498757,-6.800953798689573,6.148989898989899
26,Guayaquil,Guayas,D,10,1584,0.46958094675982653,0.3475889497251949,0.2159090909090909,0.0012626262626262627,152.43569885479798,151.2798556311046,241458.146986,239627.2913196697,-1.1558432236933867,4.726641414141414
22,Puyo,Pastaza,C,7,1584,0.46198960727433835,0.34043699364046454,0.19633838383838384,0.0012626262626262627,219.6547360915404,205.3966743614028,347933.101969,325348.332188462,-14.258061730137625,6.1811868686868685
14,Riobamba,Chimborazo,C,7,1584,0.4613103936854629,0.3300298600889175,0.19886363636363635,0.0,250.40327967045457,242.34152260232406,396638.794998,383868.97180208133,-8.061757068130483,5.770833333333333
32,Guayaquil,Guayas,C,3,1584,0.45054165472149166,0.3159290477577207,0.30997474747474746,0.004419191919191919,153.74776895075757,128.48183467501556,243536.466018,203515.22612522464,-25.265934275742016,4.8232323232323235
30,Guayaquil,Guayas,C,3,1584,0.44310114132882883,0.3282054187630501,0.21843434343434343,0.0025252525252525255,202.2367051489899,188.81421974867408,320342.940956,299081.72408189974,-13.422485400315837,5.529040404040404
10,Quito,Pichincha,C,15,1584,0.4408403588779488,0.32017487591929483,0.24621212121212122,0.003787878787878788,200.73671025126265,188.18859684022726,317966.949038,298090.73739491997,-12.548113411035361,5.527777777777778
36,Libertad,Guayas,E,10,1584,0.4403757946344962,0.31594595665265474,0.20517676767676768,0.0012626262626262627,366.35866852714645,337.6842408075924,580312.130947,534891.8374392263,-28.674427719554092,7.398989898989899
25,Salinas,Santa Elena,D,1,1584,0.43815255154375193,0.3244334625668787,0.15214646464646464,0.001893939393939394,257.1649697664141,219.8330855834704,407349.31211,348215.6075642171,-37.33188418294375,5.640782828282828
35,Playas,Guayas,C,3,1584,0.4346910364699858,0.31684116951141594,0.30113636363636365,0.0031565656565656565,163.96774178914143,154.40487397298654,259724.902994,244577.32037321068,-9.56286781615488,5.661616161616162
28,Guayaquil,Guayas,E,10,1584,0.42642597155127343,0.3090181532880875,0.1407828282828283,0.001893939393939394,469.66020959343433,462.865467515808,743941.771996,733178.9005450399,-6.794742077626306,8.08270202020202
