promotion_bin,row_count,rmsle,mean_abs_log_error,actual_zero_rate,predicted_zero_rate,mean_actual_sales,mean_predicted_sales,total_actual_sales,total_predicted_sales,mean_signed_error,mean_onpromotion
0,48752,0.4517489226060139,0.335939007814759,0.2550664588119462,0.0029947489333770924,57.814675320163275,55.956067855896535,2818581.0512086,2727970.220110668,-1.8586074642667394,0.0
1,6777,0.4190670771802466,0.303126111813356,0.0,0.0,92.1430885276376,89.60788049586925,624453.7109518,607272.606120506,-2.535208031768344,1.0
2-5,7801,0.3697018512059682,0.2600893348689786,0.0,0.0,230.27956080906293,233.29082419423355,1796410.8538715,1819901.719539216,3.0112633851706283,3.2699653890526856
6-10,7012,0.2518776928324949,0.17601862353943212,0.0,0.0,719.0661651624358,777.1281302313425,5042091.950119,5449222.449182174,58.061965068906765,7.794209925841415
11-50,12382,0.26391832900097667,0.16142262817262204,0.0,0.0,1573.7386876895494,1587.0618108865756,19486032.430972,19650999.342397578,13.323123197026188,23.46107252463253
51+,2812,0.14967141559640035,0.10960095123336451,0.0,0.0,3951.0367893278803,3858.397940690101,11110315.45159,10849815.009220565,-92.63884863777895,79.52347083926031
